node_id,node_type,zone_id,side,has_kansen,has_sidou,lon,lat,intersection_type,is_signalized,juusin_kansen,juusin_sidou,priority,notes
B-513243572-E,BOUNDARY,513243572,E,1,1,,,,,,,1.0,
B-513243572-N,BOUNDARY,513243572,N,1,1,,,,,,,1.0,
B-513243572-S,BOUNDARY,513243572,S,1,1,,,,,,,1.0,
B-513243572-W,BOUNDARY,513243572,W,1,1,,,,,,,1.0,
B-513243573-E,BOUNDARY,513243573,E,1,0,,,,,,,1.0,
B-513243573-N,BOUNDARY,513243573,N,1,1,,,,,,,1.0,
B-513243573-S,BOUNDARY,513243573,S,1,1,,,,,,,1.0,
B-513243573-W,BOUNDARY,513243573,W,1,1,,,,,,,1.0,
B-513243574-E,BOUNDARY,513243574,E,1,0,,,,,,,1.0,
B-513243574-N,BOUNDARY,513243574,N,1,0,,,,,,,1.0,
B-513243574-S,BOUNDARY,513243574,S,1,1,,,,,,,1.0,
B-513243574-W,BOUNDARY,513243574,W,1,0,,,,,,,1.0,
B-513243581-E,BOUNDARY,513243581,E,1,1,,,,,,,1.0,
B-513243581-N,BOUNDARY,513243581,N,1,1,,,,,,,1.0,
B-513243581-S,BOUNDARY,513243581,S,1,1,,,,,,,1.0,
B-513243581-W,BOUNDARY,513243581,W,1,1,,,,,,,1.0,
B-513243582-E,BOUNDARY,513243582,E,1,1,,,,,,,1.0,
B-513243582-N,BOUNDARY,513243582,N,1,1,,,,,,,1.0,
B-513243582-S,BOUNDARY,513243582,S,1,1,,,,,,,1.0,
B-513243582-W,BOUNDARY,513243582,W,1,1,,,,,,,1.0,
B-513243583-E,BOUNDARY,513243583,E,1,0,,,,,,,1.0,
B-513243583-N,BOUNDARY,513243583,N,1,1,,,,,,,1.0,
B-513243583-S,BOUNDARY,513243583,S,1,1,,,,,,,1.0,
B-513243583-W,BOUNDARY,513243583,W,1,0,,,,,,,1.0,
B-513243584-E,BOUNDARY,513243584,E,1,1,,,,,,,1.0,
B-513243584-N,BOUNDARY,513243584,N,1,1,,,,,,,1.0,
B-513243584-S,BOUNDARY,513243584,S,1,1,,,,,,,1.0,
B-513243584-W,BOUNDARY,513243584,W,1,0,,,,,,,1.0,
B-513243591-E,BOUNDARY,513243591,E,0,0,,,,,,,1.0,
B-513243591-N,BOUNDARY,513243591,N,0,0,,,,,,,1.0,
B-513243591-S,BOUNDARY,513243591,S,0,0,,,,,,,1.0,
B-513243591-W,BOUNDARY,513243591,W,1,1,,,,,,,1.0,
B-513243593-E,BOUNDARY,513243593,E,0,0,,,,,,,1.0,
B-513243593-N,BOUNDARY,513243593,N,0,1,,,,,,,1.0,
B-513243593-S,BOUNDARY,513243593,S,0,0,,,,,,,1.0,
B-513243593-W,BOUNDARY,513243593,W,1,1,,,,,,,1.0,
B-513243632-E,BOUNDARY,513243632,E,1,0,,,,,,,1.0,
B-513243632-N,BOUNDARY,513243632,N,0,0,,,,,,,1.0,
B-513243632-S,BOUNDARY,513243632,S,0,0,,,,,,,1.0,
B-513243632-W,BOUNDARY,513243632,W,0,0,,,,,,,1.0,
B-513243634-E,BOUNDARY,513243634,E,1,1,,,,,,,1.0,
B-513243634-N,BOUNDARY,513243634,N,0,0,,,,,,,1.0,
B-513243634-S,BOUNDARY,513243634,S,0,0,,,,,,,1.0,
B-513243634-W,BOUNDARY,513243634,W,0,0,,,,,,,1.0,
B-513243641-E,BOUNDARY,513243641,E,1,1,,,,,,,1.0,
B-513243641-N,BOUNDARY,513243641,N,1,1,,,,,,,1.0,
B-513243641-S,BOUNDARY,513243641,S,1,1,,,,,,,1.0,
B-513243641-W,BOUNDARY,513243641,W,1,0,,,,,,,1.0,
B-513243642-E,BOUNDARY,513243642,E,1,1,,,,,,,1.0,
B-513243642-N,BOUNDARY,513243642,N,1,1,,,,,,,1.0,
B-513243642-S,BOUNDARY,513243642,S,1,1,,,,,,,1.0,
B-513243642-W,BOUNDARY,513243642,W,1,1,,,,,,,1.0,
B-513243643-E,BOUNDARY,513243643,E,1,0,,,,,,,1.0,
B-513243643-N,BOUNDARY,513243643,N,1,0,,,,,,,1.0,
B-513243643-S,BOUNDARY,513243643,S,1,1,,,,,,,1.0,
B-513243643-W,BOUNDARY,513243643,W,1,1,,,,,,,1.0,
B-513243644-E,BOUNDARY,513243644,E,1,1,,,,,,,1.0,
B-513243644-N,BOUNDARY,513243644,N,1,1,,,,,,,1.0,
B-513243644-S,BOUNDARY,513243644,S,1,1,,,,,,,1.0,
B-513243644-W,BOUNDARY,513243644,W,1,0,,,,,,,1.0,
B-513243651-E,BOUNDARY,513243651,E,1,1,,,,,,,1.0,
B-513243651-N,BOUNDARY,513243651,N,1,1,,,,,,,1.0,
B-513243651-S,BOUNDARY,513243651,S,1,1,,,,,,,1.0,
B-513243651-W,BOUNDARY,513243651,W,1,1,,,,,,,1.0,
B-513243652-E,BOUNDARY,513243652,E,1,0,,,,,,,1.0,
B-513243652-N,BOUNDARY,513243652,N,1,1,,,,,,,1.0,
B-513243652-S,BOUNDARY,513243652,S,1,1,,,,,,,1.0,
B-513243652-W,BOUNDARY,513243652,W,1,1,,,,,,,1.0,
B-513243653-E,BOUNDARY,513243653,E,1,1,,,,,,,1.0,
B-513243653-N,BOUNDARY,513243653,N,1,1,,,,,,,1.0,
B-513243653-S,BOUNDARY,513243653,S,1,1,,,,,,,1.0,
B-513243653-W,BOUNDARY,513243653,W,1,1,,,,,,,1.0,
B-513243654-E,BOUNDARY,513243654,E,1,0,,,,,,,1.0,
B-513243654-N,BOUNDARY,513243654,N,1,1,,,,,,,1.0,
B-513243654-S,BOUNDARY,513243654,S,1,1,,,,,,,1.0,
B-513243654-W,BOUNDARY,513243654,W,1,1,,,,,,,1.0,
B-513243661-E,BOUNDARY,513243661,E,1,0,,,,,,,1.0,
B-513243661-N,BOUNDARY,513243661,N,1,0,,,,,,,1.0,
B-513243661-S,BOUNDARY,513243661,S,1,1,,,,,,,1.0,
B-513243661-W,BOUNDARY,513243661,W,1,0,,,,,,,1.0,
B-513243662-E,BOUNDARY,513243662,E,1,0,,,,,,,1.0,
B-513243662-N,BOUNDARY,513243662,N,1,1,,,,,,,1.0,
B-513243662-S,BOUNDARY,513243662,S,1,1,,,,,,,1.0,
B-513243662-W,BOUNDARY,513243662,W,1,0,,,,,,,1.0,
B-513243663-E,BOUNDARY,513243663,E,1,0,,,,,,,1.0,
B-513243663-N,BOUNDARY,513243663,N,1,1,,,,,,,1.0,
B-513243663-S,BOUNDARY,513243663,S,1,0,,,,,,,1.0,
B-513243663-W,BOUNDARY,513243663,W,1,0,,,,,,,1.0,
B-513243664-E,BOUNDARY,513243664,E,1,0,,,,,,,1.0,
B-513243664-N,BOUNDARY,513243664,N,1,1,,,,,,,1.0,
B-513243664-S,BOUNDARY,513243664,S,1,1,,,,,,,1.0,
B-513243664-W,BOUNDARY,513243664,W,1,0,,,,,,,1.0,
B-513243671-E,BOUNDARY,513243671,E,1,0,,,,,,,1.0,
B-513243671-N,BOUNDARY,513243671,N,1,0,,,,,,,1.0,
B-513243671-S,BOUNDARY,513243671,S,1,1,,,,,,,1.0,
B-513243671-W,BOUNDARY,513243671,W,1,0,,,,,,,1.0,
B-513243672-E,BOUNDARY,513243672,E,1,0,,,,,,,1.0,
B-513243672-N,BOUNDARY,513243672,N,1,0,,,,,,,1.0,
B-513243672-S,BOUNDARY,513243672,S,1,0,,,,,,,1.0,
B-513243672-W,BOUNDARY,513243672,W,1,0,,,,,,,1.0,
B-513243673-E,BOUNDARY,513243673,E,1,0,,,,,,,1.0,
B-513243673-N,BOUNDARY,513243673,N,1,0,,,,,,,1.0,
B-513243673-S,BOUNDARY,513243673,S,1,0,,,,,,,1.0,
B-513243673-W,BOUNDARY,513243673,W,1,0,,,,,,,1.0,
B-513243674-E,BOUNDARY,513243674,E,1,1,,,,,,,1.0,
B-513243674-N,BOUNDARY,513243674,N,1,1,,,,,,,1.0,
B-513243674-S,BOUNDARY,513243674,S,1,0,,,,,,,1.0,
B-513243674-W,BOUNDARY,513243674,W,1,0,,,,,,,1.0,
B-513243681-E,BOUNDARY,513243681,E,1,1,,,,,,,1.0,
B-513243681-N,BOUNDARY,513243681,N,1,1,,,,,,,1.0,
B-513243681-S,BOUNDARY,513243681,S,1,1,,,,,,,1.0,
