zone_id,side,centroid_id,juusin_kansen,juusin_sidou,bside_kansen_present,bside_sidou_present
513243534,W,513243534_C,6756,6775,0,0
513243541,N,513243541_C,7015,7020,1,1
513243541,E,513243541_C,7015,7020,1,1
513243541,S,513243541_C,7015,7020,1,1
513243541,W,513243541_C,7015,7020,1,1
513243542,N,513243542_C,7049,6634,1,1
513243542,E,513243542_C,7049,6634,1,1
513243542,S,513243542_C,7049,6634,1,1
513243542,W,513243542_C,7049,6634,1,1
513243543,N,513243543_C,6823,6780,1,1
513243543,E,513243543_C,6823,6780,1,1
513243543,S,513243543_C,6823,6780,1,1
513243543,W,513243543_C,6823,6780,1,1
513243544,N,513243544_C,6953,6952,1,1
513243544,E,513243544_C,6953,6952,1,1
513243544,S,513243544_C,6953,6952,1,1
513243544,W,513243544_C,6953,6952,1,1
513243551,N,513243551_C,2110,2127,1,1
513243551,E,513243551_C,2110,2127,0,1
513243551,S,513243551_C,2110,2127,1,1
513243551,W,513243551_C,2110,2127,1,1
513243552,N,513243552_C,2440,2122,1,1
513243552,E,513243552_C,2440,2122,1,1
513243552,S,513243552_C,2440,2122,1,1
513243552,W,513243552_C,2440,2122,0,1
513243553,N,513243553_C,2260,2520,1,1
513243553,E,513243553_C,2260,2520,1,1
513243553,S,513243553_C,2260,2520,1,1
513243553,W,513243553_C,2260,2520,1,1
513243554,N,513243554_C,2494,2488,1,1
513243554,E,513243554_C,2494,2488,1,1
513243554,S,513243554_C,2494,2488,1,1
513243554,W,513243554_C,2494,2488,1,1
513243561,N,513243561_C,8964,9162,1,1
513243561,E,513243561_C,8964,9162,1,1
513243561,S,513243561_C,8964,9162,1,1
513243561,W,513243561_C,8964,9162,1,1
513243562,N,513243562_C,8985,8987,1,1
513243562,E,513243562_C,8985,8987,0,0
513243562,S,513243562_C,8985,8987,1,1
513243562,W,513243562_C,8985,8987,1,1
513243563,N,513243563_C,9024,9026,1,1
513243563,E,513243563_C,9024,9026,1,0
513243563,S,513243563_C,9024,9026,1,1
513243563,W,513243563_C,9024,9026,1,1
513243564,N,513243564_C,8865,8814,1,1
513243564,E,513243564_C,8865,8814,1,1
513243564,S,513243564_C,8865,8814,1,1
513243564,W,513243564_C,8865,8814,1,0
513243571,N,513243571_C,15709,15710,1,1
513243571,E,513243571_C,15709,15710,1,1
