period,period_window,from_class,to_class,from_lanes,to_lanes,base_transfer_penalty_sec,lane_drop_penalty_sec_per_lane,lane_add_penalty_sec_per_lane,penalty_sec,period_delay_multiplier,notes
NIGHT,20:00-06:59,Nat,Muni,4,3,6,2,1,8,0.7,
AM_PEAK,07:00-09:59,Nat,Muni,4,4,6,2,1,6,1.2,
MIDDAY,10:00-16:59,Nat,Muni,4,4,6,2,1,6,1.0,
PM_PEAK,17:00-19:59,Nat,Muni,4,4,6,2,1,6,1.25,
NIGHT,20:00-06:59,Nat,Muni,4,4,6,2,1,6,0.7,
AM_PEAK,07:00-09:59,Nat,Other,1,1,8,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Other,1,1,8,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Other,1,1,8,2,1,8,1.25,
NIGHT,20:00-06:59,Nat,Other,1,1,8,2,1,8,0.7,
AM_PEAK,07:00-09:59,Nat,Other,1,2,8,2,1,9,1.2,
MIDDAY,10:00-16:59,Nat,Other,1,2,8,2,1,9,1.0,
PM_PEAK,17:00-19:59,Nat,Other,1,2,8,2,1,9,1.25,
NIGHT,20:00-06:59,Nat,Other,1,2,8,2,1,9,0.7,
AM_PEAK,07:00-09:59,Nat,Other,1,3,8,2,1,10,1.2,
MIDDAY,10:00-16:59,Nat,Other,1,3,8,2,1,10,1.0,
PM_PEAK,17:00-19:59,Nat,Other,1,3,8,2,1,10,1.25,
NIGHT,20:00-06:59,Nat,Other,1,3,8,2,1,10,0.7,
AM_PEAK,07:00-09:59,Nat,Other,1,4,8,2,1,11,1.2,
MIDDAY,10:00-16:59,Nat,Other,1,4,8,2,1,11,1.0,
PM_PEAK,17:00-19:59,Nat,Other,1,4,8,2,1,11,1.25,
NIGHT,20:00-06:59,Nat,Other,1,4,8,2,1,11,0.7,
AM_PEAK,07:00-09:59,Nat,Other,2,1,8,2,1,10,1.2,
MIDDAY,10:00-16:59,Nat,Other,2,1,8,2,1,10,1.0,
PM_PEAK,17:00-19:59,Nat,Other,2,1,8,2,1,10,1.25,
NIGHT,20:00-06:59,Nat,Other,2,1,8,2,1,10,0.7,
AM_PEAK,07:00-09:59,Nat,Other,2,2,8,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Other,2,2,8,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Other,2,2,8,2,1,8,1.25,
NIGHT,20:00-06:59,Nat,Other,2,2,8,2,1,8,0.7,
AM_PEAK,07:00-09:59,Nat,Other,2,3,8,2,1,9,1.2,
MIDDAY,10:00-16:59,Nat,Other,2,3,8,2,1,9,1.0,
PM_PEAK,17:00-19:59,Nat,Other,2,3,8,2,1,9,1.25,
NIGHT,20:00-06:59,Nat,Other,2,3,8,2,1,9,0.7,
AM_PEAK,07:00-09:59,Nat,Other,2,4,8,2,1,10,1.2,
MIDDAY,10:00-16:59,Nat,Other,2,4,8,2,1,10,1.0,
PM_PEAK,17:00-19:59,Nat,Other,2,4,8,2,1,10,1.25,
NIGHT,20:00-06:59,Nat,Other,2,4,8,2,1,10,0.7,
AM_PEAK,07:00-09:59,Nat,Other,3,1,8,2,1,12,1.2,
MIDDAY,10:00-16:59,Nat,Other,3,1,8,2,1,12,1.0,
PM_PEAK,17:00-19:59,Nat,Other,3,1,8,2,1,12,1.25,
NIGHT,20:00-06:59,Nat,Other,3,1,8,2,1,12,0.7,
AM_PEAK,07:00-09:59,Nat,Other,3,2,8,2,1,10,1.2,
MIDDAY,10:00-16:59,Nat,Other,3,2,8,2,1,10,1.0,
PM_PEAK,17:00-19:59,Nat,Other,3,2,8,2,1,10,1.25,
NIGHT,20:00-06:59,Nat,Other,3,2,8,2,1,10,0.7,
AM_PEAK,07:00-09:59,Nat,Other,3,3,8,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Other,3,3,8,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Other,3,3,8,2,1,8,1.25,
NIGHT,20:00-06:59,Nat,Other,3,3,8,2,1,8,0.7,
AM_PEAK,07:00-09:59,Nat,Other,3,4,8,2,1,9,1.2,
MIDDAY,10:00-16:59,Nat,Other,3,4,8,2,1,9,1.0,
PM_PEAK,17:00-19:59,Nat,Other,3,4,8,2,1,9,1.25,
NIGHT,20:00-06:59,Nat,Other,3,4,8,2,1,9,0.7,
AM_PEAK,07:00-09:59,Nat,Other,4,1,8,2,1,14,1.2,
MIDDAY,10:00-16:59,Nat,Other,4,1,8,2,1,14,1.0,
PM_PEAK,17:00-19:59,Nat,Other,4,1,8,2,1,14,1.25,
NIGHT,20:00-06:59,Nat,Other,4,1,8,2,1,14,0.7,
AM_PEAK,07:00-09:59,Nat,Other,4,2,8,2,1,12,1.2,
MIDDAY,10:00-16:59,Nat,Other,4,2,8,2,1,12,1.0,
PM_PEAK,17:00-19:59,Nat,Other,4,2,8,2,1,12,1.25,
NIGHT,20:00-06:59,Nat,Other,4,2,8,2,1,12,0.7,
AM_PEAK,07:00-09:59,Nat,Other,4,3,8,2,1,10,1.2,
MIDDAY,10:00-16:59,Nat,Other,4,3,8,2,1,10,1.0,
PM_PEAK,17:00-19:59,Nat,Other,4,3,8,2,1,10,1.25,
NIGHT,20:00-06:59,Nat,Other,4,3,8,2,1,10,0.7,
AM_PEAK,07:00-09:59,Nat,Other,4,4,8,2,1,8,1.2,
MIDDAY,10:00-16:59,Nat,Other,4,4,8,2,1,8,1.0,
PM_PEAK,17:00-19:59,Nat,Other,4,4,8,2,1,8,1.25,
