zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243561,149,20,29,79,21,1519.41,1770.02,2316.92,412.85,6019.2,37.65,8964,9162,2173,8736,8710,8782,8697,8738,11671,8779
513243562,129,30,62,37,0,2035.65,3237.73,1045.36,0,6318.74,13.24,8985,8987,8736,,15550,8784,8738,,8712,8800
513243563,160,24,76,57,3,1716.96,3065.89,1995.7,50.14,6828.69,24.11,9024,9026,8793,8884,8782,8878,2299,,8785,4811
513243564,126,24,69,22,11,1643.91,3239.94,601.12,117.07,5602.04,10.67,8865,8814,8884,8815,8784,4804,,15559,8800,8895
513243571,210,13,33,92,72,1483.45,1670.97,3539.03,991.77,7685.22,49.74,15709,15710,15550,15499,tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386,15551,,15439,tran_db10298f-7115-44bb-bde3-a607cfcd22ff,15523
513243572,155,21,36,83,15,1629.32,1846.56,3418.32,229.57,7123.77,41.61,15787,15459,15499,8515,15457,15552,15439,8120,15405,15522
513243573,134,37,53,33,11,3021.54,2897.36,879.14,166.52,6964.56,12.49,15560,15813,8815,15582,15551,15601,15559,,15523,15613
513243574,90,36,34,18,2,3043.33,1752.94,414.76,27.68,5238.71,6.86,15850,15553,15582,15605,15552,tran_2b0554d8-cac9-4789-89d1-5849aca3f908,,,15522,
513243581,194,17,44,105,28,964.44,2750.28,4122.56,433.43,8270.71,45.12,8008,8029,8515,8393,7971,8212,8120,8065,18198,8553
513243582,310,20,39,175,76,1304.21,2213.01,5394.31,986.26,9897.79,53.56,8031,8030,8393,8005,7991,8603,8065,8674,18200,8148
513243583,126,22,27,72,5,2054.94,1280.06,2035.22,46.81,5417.03,30.92,8218,8315,15605,8243,8212,3415,,,8140,8256
513243584,164,12,13,131,8,1140.44,951.65,4619.11,117.71,6828.91,55.84,8181,8187,8243,8202,8603,8252,,8189,8130,8260
513243591,5,1,0,4,0,66.24,0,204.17,0,270.41,60.4,8005,8490,8005,,,,8674,,,
513243593,5,0,1,4,0,0,125.7,278.56,0,404.26,55.12,8202,8178,8202,,,,8189,,,8248
513243632,1,1,0,0,0,723.85,0,0,0,723.85,0,9795,,,9795,,,,,,
513243634,5,2,0,3,0,2209.51,0,171.68,0,2381.19,5.77,10223,10181,,9896,,,,5317,,
513243641,194,20,26,122,26,3742.09,1349.78,4353.1,369.58,9814.55,39.25,10123,9657,9795,9748,6901,9896,,9924,6906,9768
513243642,235,14,31,167,23,2844.36,1587.56,4902.43,325.68,9660.03,43.97,9629,9661,9748,9735,9989,9896,9924,9739,6899,9770
513243643,117,13,53,43,8,4991.21,2890.52,1441.47,74.56,9397.76,13.06,9818,10029,10223,9794,9896,5465,10181,,9768,
513243644,169,27,88,52,2,3655.14,4442.45,1941.93,22.49,10062.01,15.66,9820,10056,9794,9796,9896,5332,,277,9770,5328
513243651,179,22,99,45,13,3415.28,4379.13,1497.64,119.62,9411.67,14,81,353,163,104,17,9896,9739,68,3,159
513243652,140,20,72,44,4,1279.81,3630.13,1748.23,211.76,6869.93,23.44,80,85,186,79,21,177,68,,2369,173
513243653,192,21,109,58,4,3098.18,4783.77,2120.49,23.62,10026.06,17.16,406,239,9796,191,9896,2665,277,3338,159,2640
513243654,150,21,88,40,1,1545.8,3925.37,1505.11,17.63,6993.91,17.47,446,562,186,5010,177,2654,417,,173,2647
513243661,134,19,89,24,2,1191.59,4529.98,877.12,42.14,6640.83,11.2,4849,4859,79,4864,8878,5152,,,4811,
513243662,139,39,71,25,4,2918.83,3793.1,731.4,40.33,7483.66,8.36,5115,4869,4864,4882,4813,4920,,,8895,5200
513243663,132,29,78,25,0,2122.6,3685.43,895.46,0,6703.49,10.69,5007,4956,5010,4926,5152,5075,,,,13734
513243664,166,36,92,38,0,1949.62,4451.37,1405.13,0,7806.12,14.4,5193,4986,4964,5210,4920,13722,,,5200,13730
513243671,157,88,56,12,1,5697.73,1717.24,273.39,4.17,7692.53,2.9,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,4882,tran_2f214eaf-820c-452f-b33b-b81cfbe0958a,15601,tran_e1d10cab-2ca2-4d6c-89df-46782bd6d436,,,15613,
513243672,142,85,26,21,10,4581.91,627.44,244.25,48.36,5501.96,4.43,tran_b249ef4d-7a53-4c04-9441-415dd3d23d39,tran_6cf6c6f8-433d-4ed9-a6f1-a657cb3ec644,tran_2f214eaf-820c-452f-b33b-b81cfbe0958a,3700,tran_2b0554d8-cac9-4789-89d1-5849aca3f908,tran_7b7af5eb-7ee0-4790-92b8-622231325341,,,,
513243673,255,107,116,32,0,5020.41,2904.04,673.04,0,8597.49,6.26,tran_210f17ab-bc82-4e68-98da-70ea2d590b45,tran_6ba038e1-3d9f-497b-ac0a-24078c9b263b,5210,tran_d687b5ee-d108-4216-9a5e-8a6bbd43f2a9,tran_e1d10cab-2ca2-4d6c-89df-46782bd6d436,tran_c8a35baa-289a-4bc0-823d-d6f7b22387eb,,,,
