zone_id,boundary_type,side,is_present,boundary_id,kyoukaikukaku_kansen,kyoukaikukaku_sidouseikatudou,length_total_m,score
513243674,kansen,W,1,513243674_W,tran_d687b5ee-d108-4216-9a5e-8a6bbd43f2a9_tran_07b2d90a-15db-4acd-aa9c-e4b30ee03f63_tran_7b7af5eb-7ee0-4790-92b8-622231325341_16769,tran_566201c4-09b9-4b7a-9576-efd86a80b30a_16995,5237.7,5.57
513243681,kansen,W,1,513243681_W,3700_3367_3415_3841,4123_8256_3742,9642.48,46.15
513243682,kansen,W,1,513243682_W,3367_3370_8252_3935,4123_3674_8260_3974,9237.77,48.14
513243683,kansen,W,1,513243683_W,tran_07b2d90a-15db-4acd-aa9c-e4b30ee03f63_3972_3841_4038,tran_566201c4-09b9-4b7a-9576-efd86a80b30a_3818_3742_3680,8241.18,44.9
513243684,kansen,W,1,513243684_W,4149_3887_3935,3818_4010_3974_3879,6401.11,33.69
513243691,kansen,W,1,513243691_W,3370,3674_8248,168.8,37.72
513243693,kansen,W,1,513243693_W,3887_3741,4010,536.45,13.96
513243732,kansen,W,0,513243732_W,9896,5431,2088.89,6.37
513243734,kansen,W,0,513243734_W,5691,5545,431.37,48.87
513243741,kansen,W,0,513243741_W,5465_6084_6087,5431_5373_5317_5493,5883.63,23.06
513243742,kansen,W,1,513243742_W,5465_2717_5332_5619,5373_5955_5328_5485,10056.25,28.77
513243743,kansen,W,1,513243743_W,5691_5553_6087_12609,5545_5870_5493_12460,8964.7,45.63
513243744,kansen,W,1,513243744_W,5553_2973_5619_5727,5870_2963_5485_12845,8300.42,40.35
513243751,kansen,W,1,513243751_W,2717_2784_2665_2866,5955_3338_2640_2853,8560.7,24.73
513243752,kansen,W,1,513243752_W,2784_2731_2654_2868,3338_13805_2647_2867,8191.21,25.81
513243753,kansen,W,1,513243753_W,2973_2955_2866_3055,2963_2929_2853_3052,7760.13,30.38
513243754,kansen,W,1,513243754_W,2955_13854_2868_3171,2929_13866_2867_3051,7945.24,40.66
513243761,kansen,W,1,513243761_W,2731_13778_5075_13836,13805_13754_13734,4388.22,20.55
513243762,kansen,W,1,513243762_W,13778_16564_13722_13845,13754_16555_5074_13933,7634.6,26.86
513243763,kansen,W,1,513243763_W,13854_13874_13836_13880,13866_4152,4655.69,18.96
513243764,kansen,W,1,513243764_W,13874_16604_13845_13884,13933,3892.92,2.11
513243771,kansen,W,1,513243771_W,16564_16945_tran_c8a35baa-289a-4bc0-823d-d6f7b22387eb_17036,16555_16942_16875,7691.82,15.18
513243772,kansen,W,1,513243772_W,16945_17001_16769_16864,16942_16804_16995_17019,7591.14,18.25
513243773,kansen,W,1,513243773_W,16604_16960_17036_12366,16875,5341.76,4.49
513243774,kansen,W,1,513243774_W,16960_16956_16864_16797,17019_16688,6004.97,18.01
513243781,kansen,W,1,513243781_W,17001_4038,16804_4122_3680,745.17,22.16
513243782,kansen,W,0,513243782_W,,3879,101.35,80.0
513243783,kansen,W,1,513243783_W,16956_4670,4660,342.82,11.19
513243784,kansen,W,0,513243784_W,4557,4700,121.18,37.06
513243791,kansen,W,0,513243791_W,3741,,131.14,0.0
513243832,kansen,W,0,513243832_W,12409,12414,256.2,50.84
513243834,kansen,W,0,513243834_W,,12713,118.51,85.09
513243841,kansen,W,1,513243841_W,12409_12559_12609_12529,12414_12460_12419_12536,8688.94,42.57
513243842,kansen,W,1,513243842_W,12559_12612_5727_12631,12458_12477_12845_12530,5725.86,25.48
513243843,kansen,W,0,513243843_W,12559_12529,12713_12536,4797.04,52.04
513243844,kansen,W,1,513243844_W,12559_12612_12631_12601,12694_12530_12600,4695.56,23.74
513243851,kansen,W,1,513243851_W,12612_3055_3050,12477_3052,1163.33,25.66
513243852,kansen,W,1,513243852_W,3055_3171,4181_3051,464.1,51.2
513243853,kansen,W,1,513243853_W,12601_12612,12694_14054,735.29,12.55
513243854,kansen,W,0,513243854_W,4318_14452,4317_14457,311.97,24.28
513243861,kansen,W,0,513243861_W,4188_13880_4187,4181_4152,4110.12,18.95
513243862,kansen,W,1,513243862_W,4188_4164_13884_4185,4402,2764.97,1.94
513243863,kansen,W,1,513243863_W,4318_4272_4187_17050,4317_4286,4835.07,24.98
513243864,kansen,W,1,513243864_W,4272_4190_4185_4287,4248_4402_12021,5640.03,15.68
513243871,kansen,W,1,513243871_W,4164_12377_12366_12271,12221,3953.69,8.63
513243872,kansen,W,1,513243872_W,12377_4709_16797_12398,12221_4560_16688_12389,7840.04,21.39
513243873,kansen,W,1,513243873_W,4209_11923_12271_7174,4248_7194,8976.65,35.18
513243874,kansen,W,1,513243874_W,11923_11849_12398_7195,12082_12389_12029,5436.7,48.05
513243881,kansen,W,1,513243881_W,4623_4659_4670_4549,4560_4649_4660_4570,7471.88,20.61
513243882,kansen,W,1,513243882_W,4659_4771_4557_4711,4649_4597_4700_4777,3778.97,43.47
513243883,kansen,W,1,513243883_W,11849_4422_4549_11282,12082_4412_4570_10464,3611.97,26.39
513243884,kansen,W,1,513243884_W,4422_4711_4471,4777_4470,3306.61,39.11
513243891,kansen,W,1,513243891_W,4771,4597,80.45,9.54
513243942,kansen,W,0,513243942_W,12601,12600,232.51,19.7
513243944,kansen,W,0,513243944_W,14252,14243,98.74,13.51
513243951,kansen,W,0,513243951_W,14239_14376,14054,5088.14,13.83
513243952,kansen,W,1,513243952_W,14239_14116_14452_14154,14432_14457_14356,5994.11,33.82
513243953,kansen,W,1,513243953_W,14252_14175_14376_14235,14243_14180,4533.6,22.46
513243954,kansen,W,1,513243954_W,14175_14242_14216_14231,14180_14144_14356_14315,5860.35,25.09
513243961,kansen,W,1,513243961_W,14116_17094_17050_17188,14432_17629_4286_17198,8338.64,33.36
513243962,kansen,W,1,513243962_W,17073_7907_4287_17208,17629_17047_17206,5653.95,22.73
513243963,kansen,W,1,513243963_W,14242_17317_17188_17371,14144_17225_17198_17376,8827.41,38.88
513243964,kansen,W,1,513243964_W,17439_17208_17380,17200_17206_17375,5367.9,34.97
513243971,kansen,W,1,513243971_W,7907_7202_7174_7796,7294_12030_7406,9028.16,43.13
513243972,kansen,W,1,513243972_W,7202_10570_7195_7409,7194_7243_12029_7436,10081.55,53.35
513243973,kansen,W,0,513243973_W,7519_7796_7516,7420_7406,5572.78,35.36
513243974,kansen,W,1,513243974_W,7519_7689_7409_7513,7420_10702_7436,6341.56,44.16
513243981,kansen,W,1,513243981_W,10570_10659_11282_10658,7243_10509_10464_10657,10346.65,56.94
513243982,kansen,W,1,513243982_W,10501_4471_10692,10509_4470_10786,5224.67,44.54
513243983,kansen,W,1,513243983_W,7689_10672_10658_10785,10702_10712_10657_10781,8416.96,55.02
513243984,kansen,W,1,513243984_W,10659_10692_10918,10712_10786,4569.89,27.12
513253051,kansen,W,0,513253051_W,14234,,328.05,0.0
513253052,kansen,W,0,513253052_W,14231,14315,145.72,26.21
513253061,kansen,W,0,513253061_W,17371,17376,474.62,22.1
513253062,kansen,W,0,513253062_W,17380,17375,418.36,8.87
513253071,kansen,W,0,513253071_W,7519,,287.38,0.0
513253072,kansen,W,0,513253072_W,7513,,379.26,0.0
513253081,kansen,W,0,513253081_W,10785,10781,382.3,16.87
513253082,kansen,W,0,513253082_W,10918,,133.42,0.0
513243254,kansen,E,0,513243254_E,10443,,17.83,0.0
513243263,kansen,E,0,513243263_E,6294,,803.83,0.0
513243264,kansen,E,0,513243264_E,6254,6553,398.97,24.55
513243273,kansen,E,0,513243273_E,15953,15960_15948,913.44,64.69
513243274,kansen,E,0,513243274_E,16291,,527.55,0.0
513243283,kansen,E,0,513243283_E,15107,,780.03,0.0
513243341,kansen,E,1,513243341_E,9220_9481,,958.04,3.11
513243342,kansen,E,0,513243342_E,9206,9545,960.46,19.75
513243343,kansen,E,1,513243343_E,9220_9481_9348,9302_9340,5389.36,55.34
513243344,kansen,E,1,513243344_E,9220_9322_9206_9339,9302_9571_9545_14510,8389.3,39.19
513243351,kansen,E,1,513243351_E,10431_10329,10224,3321.17,7.62
513243352,kansen,E,1,513243352_E,10431_581_6506_14738,10224,6489.86,1.28
513243353,kansen,E,1,513243353_E,9322_10250_10329_14738,9571_13277,8102.49,9.03
513243354,kansen,E,1,513243354_E,13280_6252_14738_12931,10265_10328,12062.68,12.46
513243361,kansen,E,1,513243361_E,14738_6154_6294_6393,6521,8229.05,10.66
513243362,kansen,E,0,513243362_E,6154_6254_6205,6521_16062_6553_6228,7393.09,51.14
513243363,kansen,E,1,513243363_E,6252_6392_6393_6285,6282_11308,1911.76,41.94
513243364,kansen,E,1,513243364_E,6393_16388_6205_11513,6251_6228_6288,7566.77,44.56
513243371,kansen,E,1,513243371_E,15978_15953_16111,16062_16033_15948_16106,10036.9,71.43
513243372,kansen,E,0,513243372_E,15978_16291,16033,2223.24,28.88
513243373,kansen,E,0,513243373_E,16388_16111_tran_c037efc6-633a-4a68-a7fc-e3b448f83244,6228_16260_16106,8843.06,67.27
513243374,kansen,E,1,513243374_E,16383_16291_16290,16260_15074,7090.17,55.88
513243381,kansen,E,1,513243381_E,15077_15107,15112_15074,1444.29,28.53
513243382,kansen,E,0,513243382_E,15081,15080,949.0,23.59
513243383,kansen,E,1,513243383_E,15111_15077_15107_17729,15074_15112_18540,8095.56,40.24
513243384,kansen,E,0,513243384_E,15077_15081_15237,15188_15386_15080_18588,4474.71,38.06
513243393,kansen,E,0,513243393_E,,15386,34.9,80.0
513243434,kansen,E,1,513243434_E,14738,14675,4043.53,3.5
